Time (s),Current (A),Voltage (V),Temperature (K)
244.3939,1.000000e-01,0.003536533,230.400
245.2739,1.000000e-01,0.003533034,230.080
246.1448,1.000000e-01,0.003524984,229.740
247.0239,1.000000e-01,0.003518272,229.420
248.0284,1.000000e-01,0.003513617,229.090
248.9001,1.000000e-01,0.003508228,228.790
249.7811,1.000000e-01,0.003504256,228.440
250.6483,1.000000e-01,0.003496272,228.120
251.4799,1.000000e-01,0.003490145,227.780
252.3117,1.000000e-01,0.003478860,227.440
253.1540,1.000000e-01,0.003472504,227.440
254.0245,1.000000e-01,0.003465934,227.080
254.9060,1.000000e-01,0.003457637,226.740
255.7880,1.000000e-01,0.003454588,226.400
256.6689,1.000000e-01,0.003448980,226.060
257.5504,1.000000e-01,0.003443097,225.720
258.4313,1.000000e-01,0.003438947,225.380
259.3130,1.000000e-01,0.003435753,225.040
260.1934,1.000000e-01,0.003430641,224.700
261.0823,1.000000e-01,0.003426535,224.340
261.9569,1.000000e-01,0.003422671,223.930
262.8375,1.000000e-01,0.003414228,223.670
263.7197,1.000000e-01,0.003410205,223.330
264.6018,1.000000e-01,0.003405134,222.990
265.4842,1.000000e-01,0.003402986,222.650
266.3664,1.000000e-01,0.003393119,222.310
267.2476,1.000000e-01,0.003389474,221.970
268.1299,1.000000e-01,0.003386525,221.630
268.9954,1.000000e-01,0.003380337,221.310
269.8282,1.000000e-01,0.003377248,220.970
270.7089,1.000000e-01,0.003367060,220.640
271.5421,1.000000e-01,0.003357677,220.280
272.4219,1.000000e-01,0.003356631,219.940
273.2537,1.000000e-01,0.003351713,219.620
274.1352,1.000000e-01,0.003347489,219.290
275.0158,1.000000e-01,0.003340283,218.970
275.8973,1.000000e-01,0.003336988,218.630
276.7787,1.000000e-01,0.003334787,218.300
277.6456,1.000000e-01,0.003331151,217.970
278.4765,1.000000e-01,0.003327655,217.650
279.3086,1.000000e-01,0.003324092,217.320
280.1418,1.000000e-01,0.003318692,217.320
281.0222,1.000000e-01,0.003313968,217.000
281.9038,1.000000e-01,0.003307974,216.710
282.7847,1.000000e-01,0.003306401,216.380
283.6659,1.000000e-01,0.003300800,216.010
284.5468,1.000000e-01,0.003291345,215.700
285.4290,1.000000e-01,0.003287007,215.390
286.3124,1.000000e-01,0.003284052,215.060
287.1957,1.000000e-01,0.003277007,214.720
288.0743,1.000000e-01,0.003271066,214.400
288.9586,1.000000e-01,0.003267986,214.090
289.8361,1.000000e-01,0.003264401,213.760
290.7167,1.000000e-01,0.003261384,213.450
291.5982,1.000000e-01,0.003253423,213.130
292.4810,1.000000e-01,0.003248370,212.800
293.3611,1.000000e-01,0.003246619,212.510
294.2424,1.000000e-01,0.003244499,212.190
295.1082,1.000000e-01,0.003238659,211.880
295.9419,1.000000e-01,0.003233762,211.550
296.8216,1.000000e-01,0.003229514,211.230
297.6522,1.000000e-01,0.003226542,210.940
298.4835,1.000000e-01,0.003221251,210.580
299.3651,1.000000e-01,0.003215201,210.290
300.2458,1.000000e-01,0.003212660,209.980
301.1263,1.000000e-01,0.003210250,209.650
302.0082,1.000000e-01,0.003207813,209.360
302.8883,1.000000e-01,0.003205679,209.030
303.7694,1.000000e-01,0.003196750,208.740
304.6356,1.000000e-01,0.003193367,208.410
305.4821,1.000000e-01,0.003189536,208.100
306.3469,1.000000e-01,0.003184085,207.810
307.2278,1.000000e-01,0.003181850,207.490
308.0600,1.000000e-01,0.003176103,207.490
308.8911,1.000000e-01,0.003172896,207.180
309.7722,1.000000e-01,0.003168311,206.890
310.6532,1.000000e-01,0.003165799,206.580
311.5334,1.000000e-01,0.003162925,206.290
312.4141,1.000000e-01,0.003157415,205.990
313.2952,1.000000e-01,0.003153598,205.680
314.1755,1.000000e-01,0.003150277,205.390
315.0561,1.000000e-01,0.003147085,205.080
315.9364,1.000000e-01,0.003145315,204.750
316.8186,1.000000e-01,0.003139866,204.490
317.7006,1.000000e-01,0.003136469,204.180
318.5828,1.000000e-01,0.003132633,203.890
319.4691,1.000000e-01,0.003123433,203.600
320.3468,1.000000e-01,0.003122319,203.340
321.2293,1.000000e-01,0.003116931,203.010
322.0966,1.000000e-01,0.003116449,202.740
322.9782,1.000000e-01,0.003113157,202.410
323.8589,1.000000e-01,0.003108756,202.120
324.6913,1.000000e-01,0.003094413,201.770
325.5253,1.000000e-01,0.003086455,201.430
326.4046,1.000000e-01,0.003081469,201.130
327.2870,1.000000e-01,0.003074399,200.810
328.1690,1.000000e-01,0.003069215,200.480
329.0496,1.000000e-01,0.003062615,200.170
329.9343,1.000000e-01,0.003057070,199.840
330.8127,1.000000e-01,0.003049406,199.530
331.8273,1.000000e-01,0.003047416,199.210
332.6757,1.000000e-01,0.003042376,198.870
333.5579,1.000000e-01,0.003038034,198.570
334.4381,1.000000e-01,0.003036813,198.260
335.3199,1.000000e-01,0.003029376,197.950
